t1, t2
1646907374050569, 1646907374050889, 320
1646907374050890, 1646907374051034, 144
1646907374051034, 1646907374051182, 148
1646907374051182, 1646907374051326, 144
1646907374051326, 1646907374051439, 113
1646907374051439, 1646907374051502, 63
1646907374051502, 1646907374051550, 48
1646907374051550, 1646907374051592, 42
1646907374051592, 1646907374051632, 40
1646907374051632, 1646907374051674, 42
1646907374051674, 1646907374051736, 62
1646907374051736, 1646907374051812, 76
1646907374051812, 1646907374051871, 59
1646907374051871, 1646907374051918, 47
1646907374051918, 1646907374051960, 42
1646907374051960, 1646907374052003, 43
1646907374052003, 1646907374052044, 41
1646907374052044, 1646907374052088, 44
1646907374052088, 1646907374052129, 41
1646907374052129, 1646907374052175, 46
1646907374052175, 1646907374052217, 42
1646907374052217, 1646907374052273, 56
1646907374052273, 1646907374052314, 41
1646907374052314, 1646907374052357, 43
1646907374052357, 1646907374052401, 44
1646907374052401, 1646907374052437, 36
1646907374052437, 1646907374052476, 39
1646907374052476, 1646907374052512, 36
1646907374052512, 1646907374052549, 37
1646907374052549, 1646907374052585, 36
1646907374052585, 1646907374052621, 36
1646907374052621, 1646907374052657, 36
1646907374052657, 1646907374052693, 36
1646907374052693, 1646907374052729, 36
1646907374052729, 1646907374052765, 36
1646907374052765, 1646907374052801, 36
1646907374052801, 1646907374052837, 36
1646907374052837, 1646907374052873, 36
1646907374052874, 1646907374052910, 36
1646907374052910, 1646907374052946, 36
1646907374052946, 1646907374052982, 36
1646907374052982, 1646907374053018, 36
1646907374053018, 1646907374053054, 36
1646907374053054, 1646907374053090, 36
1646907374053090, 1646907374053125, 35
1646907374053126, 1646907374053162, 36
1646907374053162, 1646907374053198, 36
1646907374053198, 1646907374053233, 35
1646907374053233, 1646907374053269, 36
1646907374053269, 1646907374053306, 37
1646907374053306, 1646907374053341, 35
1646907374053341, 1646907374053377, 36
1646907374053377, 1646907374053413, 36
1646907374053413, 1646907374053449, 36
1646907374053449, 1646907374053484, 35
1646907374053484, 1646907374053520, 36
1646907374053520, 1646907374053556, 36
1646907374053556, 1646907374053592, 36
1646907374053592, 1646907374053627, 35
1646907374053627, 1646907374053663, 36
1646907374053663, 1646907374053699, 36
1646907374053699, 1646907374053735, 36
1646907374053735, 1646907374053771, 36
1646907374053771, 1646907374053806, 35
1646907374053806, 1646907374053842, 36
1646907374053842, 1646907374053878, 36
1646907374053878, 1646907374053914, 36
1646907374053914, 1646907374053950, 36
1646907374053950, 1646907374053987, 37
1646907374053987, 1646907374054023, 36
1646907374054023, 1646907374054059, 36
1646907374054059, 1646907374054104, 45
1646907374054104, 1646907374054141, 37
1646907374054141, 1646907374054177, 36
1646907374054177, 1646907374054231, 54
1646907374054231, 1646907374054274, 43
1646907374054274, 1646907374054318, 44
1646907374054318, 1646907374054361, 43
1646907374054361, 1646907374054405, 44
1646907374054405, 1646907374054448, 43
1646907374054448, 1646907374054492, 44
1646907374054492, 1646907374054540, 48
1646907374054540, 1646907374054587, 47
1646907374054587, 1646907374054631, 44
1646907374054631, 1646907374054684, 53
1646907374054684, 1646907374054750, 66
1646907374054750, 1646907374054796, 46
